video_id,educational
qJZ1Ez28C-A,True
dFVrncgIvos,True
mqo1lQL59VI,True
P_fHJIYENdI,True
88bMVbx1dzM,True
Ni82f1-cAXg,True
H6q6pYZ9Fho,True
Rdj5-6t6QI8,True
zaXKQ70q4KQ,True
rjXZzB5bUAo,True
pgGrQjYcm5A,True
IFaAjR_RRJs,True
24GfgNtnjXc,True
NKG0pRwTC5A,True
vqeIeIcDHD0,True
8oSzTHGNhDk,True
IQQqXEztxZE,True
2DLQGX2n7jQ,True
YKIW5bGSsLQ,True
gxY4k-pubbo,True
-4e__1PtOhE,True
2ntx91cOYEc,True
iwaQaVbPjWU,True
ScA9Qnr6Eq4,True
euCkKszuWDQ,True
diHw58JM2Zc,True
VKZtlELBGfU,True
ndhu7uo3PrI,True
YWXMd1WC5sg,True
GrqX0L0GQ-s,True
WDUNqYXWbMg,True
xALv93I6xLo,True
v8HWt9g4L0k,True
gZfg-KUPtMc,True
rUEc-XehwNQ,True
_IAeZaBpJpw,True
Z3aodMViqJI,True
MHrbAlLpIWs,True
8pn9KEuXG28,True
NdeeSEknp58,True
jGg_1h0qzaM,True
yx1ri8X37S4,True
bp9OZoQu3A0,True
do62-z3z6FM,True
blKkRoZPxLc,True
FHLmuNj20bA,True
DOXJ7s1D6iE,True
IcOiX-jynfI,True
G4A5T3y5bJM,True
6JnddhxL6vE,True
0roB7wZMLqI,True
SLIlyAy-aZs,True
VDFRpjQVaME,True
biveB0gOlak,True
gl0cpq4RJhU,True
PcbuKRNtCUc,True
LrPhWAGYhlI,True
MG1kt_wiIz0,True
T23Bs75F7ZQ,True
oYMUKagK0n8,True
pYP0ynR8h-k,True
Xx4Tpsk_fnM,True
jsraR-el8_o,True
1su3lAh-k4o,True
evSFeqTZdqs,True
K9anz4aB0S0,True
1fFO27FPM9A,True
R8MI8vsrFiQ,True
AqJnK9Dh-eQ,True
G6R7UOFx1bw,True
sBeHhJ8P24I,True
t6amG00HQuo,True
rAEqP9VEhe8,True
fN3gdUMB_Yc,True
QwFLA5TrviI,True
SAk-6gVkio0,True
gY4Z-9QlZ64,True
OKc2hAmMOY4,True
dZ0SQrr4g8g,True
PpaQrzoDW2I,True
03lRzf7iSiU,True
LY8_35a_DEA,True
3OKj0SQ_UTw,True
c1BPd8omBro,True
5iSAvzU2WYY,True
qNqKeMa9yBU,True
IF414I26_K8,True
R5UZsIwPbJA,True
gAhB6DDXHmo,True
GybQOJfmnKA,True
vfNHdVbE-l4,True
T99fNXTUUaQ,True
pbjR20eTLVs,True
MazpwQNdJYQ,True
vfeUb7w8Hr8,True
2h8VArJ3gnQ,True
HGe-nD90GWs,True
dJNFPv9Mj-Y,True
XBJL-WJ6Z58,True
LHrWxGsq-GI,True
p7IGZTjC008,True
-_ivRdVjjzA,True
6UlGLB_jiCs,True
Bxdt6T_1qgc,True
ORe-c1crRcE,True
L4u7Zy_b868,True
m6KnVTYtSc0,True
kYOkrswU1KE,True
tRXy-b6_lBc,True
MDZ2iWN0ZSI,True
NYNBAxDfgrY,True
UjAJ2jKH_QM,True
eGU9Bvl7VvQ,True
Ufmu1WD2TSk,True
PHI07XtbfVA,True
wo_e0EvEZn8,True
joYJahY4FUI,True
FPZuklD9eRg,True
5sVfTPaxRwk,True
XQQkHLW8b3Y,True
KmgRBiRMmAU,True
dCiMUWw1BBc,True
RLEvo3I5C6w,True
UyUm3KEnZxE,True
oR3Q7RntqEw,True
0pyGPK3fG4U,True
mCAm38dSD78,True
Pkbhn8sIWuw,True
vC9BeyIlcYo,True
4o62Kq2wJf8,True
zta-q44XT4c,True
A4JAAQueWEI,True
Bm-bHNC4aoA,True
wEuHJKd647g,True
5QXtpuYyNMY,True
j9ofrICB2Zo,True
7OPpra5Rk0Y,True
pPUS_xLhxB8,True
n29TrmGwfsg,True
j8wSylMtRJU,True
LIDImSOIW8k,True
IEqpTHoFztk,True
MI2Llsy0jas,True
fkyeesc6Ky8,True
j_lpkdeYmCw,True
pz4pML8ij4s,True
wuI5FCeRp5k,True
KIjI2Rr2E74,True
qhuBBIj6RJk,True
iZCJoxtE89Y,True
IrErOqKKRV0,True
ynZ2Hanhf7U,True
Ny4JDxwlrbo,True
UoAsDlUwjy0,True
AoGOIiBo4Eg,True
rwAXeJ9kjZ0,True
8OMghdHP-zs,True
fo4e3njyGy0,True
WViyCAa6yLI,True
nAh_Kx5Zh5Q,True
mop6g-c5HEY,True
qYomF9p_SYM,True
T4IX36sP_0c,True
kQ8DGP9p2LY,True
mDKM-JtUhhc,True
5QR-dG68eNE,True
nVdF7QT-Ggg,True
_vr5faCXFo8,True
N6xqCwblyiw,True
4tVC1vhxiao,True
W9uKzPFS1CI,True
VUFvY349ess,True
rWtfClpWSb8,True
QPEYgKGxZ5Y,True
u7LPRqrzry8,True
CWCVYYT0SfM,False
UxjP5yFqPQ0,False
427n0C6Iwpw,False
40hh_fmF-rA,False
HWAhTSq0co0,False
k4Pammktx3c,False
kl2kaAQnmmw,False
oKgciUk0twY,False
lnsNlnbvxyo,False
32ISb2hr9sU,False
7tF4t3UlZ4s,False
wkt5aBpV6zA,False
4PLRPhYrDzI,False
4tv7GBgmol0,False
OEt7BV2isAw,False
jwj8ILR-KGI,False
GUYACWNyUqI,False
W00Km9EPVBY,False
Ah8m2oxcllk,False
LVMr0pMmpoA,False
QcZeHA3XLCE,False
Y42Q1H-QBUA,False
J7v0wzf8WWI,False
P34tygTLi8o,False
8sY5326VIow,False
lQNYbmOYuj8,False
H9G6GR7IaLk,False
faIP-keY1Hc,False
9ynfNPodJIk,False
N-OpHDw7JQ0,False
HK5vgjxhOUE,False
drjA0ydUo2k,False
EvpSYw9FdCk,False
9vETi6ld38g,False
bUDceZzwxZk,False
gnT5SxxengA,False
mf0dzKEDFOs,False
cYbxmAXtSHk,False
4iuMZVzqyxI,False
i8AqdWP-BvI,False
Kb_vseC5y-c,False
9QASL0SjNGQ,False
GtAtwDDm0rM,False
UjDTwRTqgM0,False
9ynfNPodJIk,False
Mth3vvLTxNY,False
qqMHYHrSwl8,False
qxkJhTGoY9A,False
X9hRLLj1Ur0,False
ojfjtQss638,False
rQWYzah9ah8,False
gDGb6MuOoSc,False
J7v0wzf8WWI,False
FnXPYuVhRT8,False
jcxjScTsa7U,False
XrDqz89p1NI,False
jf1G4SBzJg4,False
3UvaCLEAWQg,False
6uZyFt5ESBI,False
L2jLLQVunck,False
3HkTZQh99u4,False
97h_PznS3Sc,False
40hh_fmF-rA,False
GlBNoT1iNVg,False
k4Pammktx3c,False
kl2kaAQnmmw,False
kga7xcq_ElI,False
P8JDwcKMp_U,False
Th3SQzkj0hQ,False
JF095evPRWA,False
ap4QEQh0nsA,False
RwYscgb_gas,False
AM-grMbSDMI,False
QcTmA0WR_KY,False
jwj8ILR-KGI,False
GUYACWNyUqI,False
W00Km9EPVBY,False
y6FbH_xXGVA,False
LVMr0pMmpoA,False
WfNroxtUVVo,False
dvPP0-lrt0E,False
rkP4X1FNNks,False
P34tygTLi8o,False
1klq7HTRbts,False
d_CbnFczp50,False
u3-pGpmYZcg,False
zVmpJtTVyvg,False
PcPS-21ZVMw,False
xH5mgLtpNUk,False
HK5vgjxhOUE,False
IdJT8WKaVzM,False
Ke7ljedyIvo,False
pRnUBFMZqDg,False
PQ_m7o40F88,False
gnT5SxxengA,False
mf0dzKEDFOs,False
RfMAsETBAXo,False
mMATJF-MPTg,False
7SQgh7-3iUk,False
BH_0eSXJ8sg,False
Urlzqo94Aro,False
zVmpJtTVyvg,False
4fgzSw2uqYs,False
PcPS-21ZVMw,False
TBZ0_0w97W0,False
qqMHYHrSwl8,False
McJ9PSi5uMA,False
X9hRLLj1Ur0,False
ojfjtQss638,False
gBdQNJrSWW8,False
VfhSk1KKI4w,False
rkP4X1FNNks,False
FnXPYuVhRT8,False
dvULJBPhVsg,False
XrDqz89p1NI,False
VRaJvxP18N0,False
pHNfSr0Usqo,False
6_NBj923WQk,False
ZuxgokKStww,False
5yv03f3xcB4,False
7X-bkJt1h20,False
MCzFTM-y1dE,False
fEZ7d54hCsg,False
qnabSpDO4Bk,False
Nyd26aDjY2c,False
k_tZEi6QS0A,False
d4BK-Fi-hec,False
dTU_DzRsV7A,False
CHmBcBPV-3U,False
xOaHejCt_8I,False
7M9DOPv6s-0,False
UoG4vGyniVI,False
ovDPRbGrv1w,False
TEjvCMqQ7wU,False
9MZ3ViEmaes,False
P17mA04pFs8,False
1DPwQ-aHzDk,False
twfTpVeViQY,False
84ujJdTS8K4,False
QlCo5AJzD2U,False
c9S8F6tNav4,False
u93SIpz4ba0,False
IBncN8yogww,False
GEtgnF4FL5k,False
B5fp2tNsnb0,False
m35eVjhfHN8,False
IKPjD-z59sM,False
vkuINdQ0etk,False
E4jmlh1vb4s,False
EzzAJ3EiNIk,False
tqLBnbP7Ipk,False
EjmPw88Yr28,False
yV6sxoyv-ks,False
PIcQWMbdGQE,False
wRTK2GRpV7c,False
QfqH5b8aKYs,False
